consulta,origen,destino,dist_dijkstra,saltos_bfs,nodos_dijkstra,nodos_bfs,t_dijkstra_ms,t_bfs_ms
Q01,1,500000,516,101,69880,54793,9.097,1.596
Q02,100,1000000,2304,484,1106267,1008992,163.121,32.349
Q03,50000,750000,2702,545,1040092,923563,141.397,27.589
Q04,200000,800000,612,124,106905,88371,13.06,3.482
Q05,300000,100000,3170,666,1174348,1052631,149.993,35.872
Q06,1,1087562,437,95,48428,47313,5.301,1.12
Q07,500000,1,516,101,102434,91333,16.423,3.074
Q08,250000,600000,1433,300,813824,758734,115.859,26.227
Q09,10000,900000,844,169,194812,156502,25.955,5.268
Q10,400000,150000,859,167,431720,352068,61.473,11.677
